scene,variant,N,cc,top_1pct,top_5pct,top_10pct,top_25pct,top_50pct
seq_1_frame_438,HO_128,20000,0.5117654204368591,95.34862918825696,99.30903644856512,99.82285243102582,99.98872780077471,99.99972679588952
seq_1_frame_438,HO_8,20000,0.5669949650764465,94.27680158774443,99.10143727493929,99.75502543738962,99.98368603698016,99.99957457919562
seq_1_frame_438,UB_144,20000,0.8304030299186707,93.68584724354312,99.17090750443505,99.78832545183184,99.98507111463107,99.99956718218154
seq_1_frame_438,UB_9,20000,0.9081863760948181,91.2381021877776,98.57903187581779,99.56443965414861,99.96195708685502,99.99868044005741
seq_2_frame_105,HO_128,20000,0.5901859402656555,95.20745327356613,99.49255010832293,99.87765632013577,99.99275583990752,99.99989751851328
seq_2_frame_105,HO_8,20000,0.5634307265281677,93.93191574062796,99.33658751771927,99.84081574151176,99.99092373826704,99.99987703625087
seq_2_frame_105,UB_144,20000,0.7315739989280701,97.14443350022486,99.68462261693243,99.92426198059665,99.99568524595803,99.99994810433283
seq_2_frame_105,UB_9,20000,0.8057719469070435,90.16884718991797,98.921516819,99.75173150418274,99.98645569888484,99.99977426164808
