scene,variant,param,nbr_std_mean,nbr_std_median,nbr_std_p95
seq_1_frame_438,HO_128,eps_real,0.2959219217300415,0.2633872628211975,0.5695171445608138
seq_1_frame_438,HO_128,eps_imag,0.5862691402435303,0.5760287642478943,0.854900515079498
seq_1_frame_438,HO_128,sigma_h,1.168871283531189,1.1594557762145996,1.6636124849319458
seq_1_frame_438,HO_128,l_c,0.7391939759254456,0.7239989042282104,1.1008979499340057
seq_1_frame_438,HO_128,tau,0.40517476201057434,0.29821252822875977,1.0834550261497495
seq_1_frame_438,HO_128,thickness,0.2857551574707031,0.2538120150566101,0.5548748284578323
seq_1_frame_438,HO_8,eps_real,0.30534735321998596,0.2797282338142395,0.5669926911592483
seq_1_frame_438,HO_8,eps_imag,0.6038305759429932,0.5961818695068359,0.8690868616104126
seq_1_frame_438,HO_8,sigma_h,1.2295942306518555,1.2264269590377808,1.7034757792949675
seq_1_frame_438,HO_8,l_c,0.7740842700004578,0.7512235641479492,1.1524414718151086
seq_1_frame_438,HO_8,tau,0.4176683723926544,0.31854119896888733,1.0666166901588439
seq_1_frame_438,HO_8,thickness,0.2943459749221802,0.26703789830207825,0.5534457296133041
seq_1_frame_438,UB_144,eps_real,0.29797935485839844,0.2680675983428955,0.5716271132230757
seq_1_frame_438,UB_144,eps_imag,0.5856780409812927,0.5772175788879395,0.8524838387966156
seq_1_frame_438,UB_144,sigma_h,1.1608948707580566,1.1499905586242676,1.675941777229309
seq_1_frame_438,UB_144,l_c,0.7427188754081726,0.7245924472808838,1.1224117517471313
seq_1_frame_438,UB_144,tau,0.39889129996299744,0.29815664887428284,1.0662843465805052
seq_1_frame_438,UB_144,thickness,0.2878008186817169,0.2577572464942932,0.5576048940420151
seq_1_frame_438,UB_9,eps_real,0.30419933795928955,0.27430179715156555,0.5776060461997984
seq_1_frame_438,UB_9,eps_imag,0.5929426550865173,0.5860583782196045,0.8530919820070266
seq_1_frame_438,UB_9,sigma_h,1.227543592453003,1.228857398033142,1.6920008301734923
seq_1_frame_438,UB_9,l_c,0.7613082528114319,0.742118239402771,1.1370308816432952
seq_1_frame_438,UB_9,tau,0.4153688848018646,0.31658339500427246,1.0688153982162474
seq_1_frame_438,UB_9,thickness,0.29271385073661804,0.2621144652366638,0.5655777275562286
seq_2_frame_105,HO_128,eps_real,0.3198661804199219,0.2973346412181854,0.5783908933401106
seq_2_frame_105,HO_128,eps_imag,0.6230456829071045,0.6087973117828369,0.9312626749277114
seq_2_frame_105,HO_128,sigma_h,1.1048904657363892,1.0856045484542847,1.7606155037879943
seq_2_frame_105,HO_128,l_c,0.7353896498680115,0.7150766849517822,1.1405946254730224
seq_2_frame_105,HO_128,tau,0.33687645196914673,0.24803698062896729,1.0131230175495147
seq_2_frame_105,HO_128,thickness,0.30514878034591675,0.2822740972042084,0.55905681848526
seq_2_frame_105,HO_8,eps_real,0.3308126926422119,0.3100384473800659,0.5893687695264815
seq_2_frame_105,HO_8,eps_imag,0.6402679681777954,0.6321771144866943,0.9371028929948806
seq_2_frame_105,HO_8,sigma_h,1.2010340690612793,1.1909369230270386,1.7630315005779267
seq_2_frame_105,HO_8,l_c,0.7896670699119568,0.7783380150794983,1.1701321661472321
seq_2_frame_105,HO_8,tau,0.3559713363647461,0.27111974358558655,1.01391527056694
seq_2_frame_105,HO_8,thickness,0.3150332272052765,0.2926643490791321,0.5731707513332366
seq_2_frame_105,UB_144,eps_real,0.3139427602291107,0.2899841070175171,0.5749983578920365
seq_2_frame_105,UB_144,eps_imag,0.6125993132591248,0.5988787412643433,0.9166439741849898
seq_2_frame_105,UB_144,sigma_h,1.1305415630340576,1.1101467609405518,1.7629796087741851
seq_2_frame_105,UB_144,l_c,0.7378649711608887,0.7198171615600586,1.1280255496501923
seq_2_frame_105,UB_144,tau,0.3271069824695587,0.23803013563156128,0.9994301080703735
seq_2_frame_105,UB_144,thickness,0.29912954568862915,0.2763898968696594,0.556179317831993
seq_2_frame_105,UB_9,eps_real,0.3196640610694885,0.29675549268722534,0.5743052572011947
seq_2_frame_105,UB_9,eps_imag,0.6230635046958923,0.6087335348129272,0.9240618050098419
seq_2_frame_105,UB_9,sigma_h,1.2065550088882446,1.192375659942627,1.775354993343353
seq_2_frame_105,UB_9,l_c,0.7864966988563538,0.7763711810112,1.1604508221149445
seq_2_frame_105,UB_9,tau,0.33487242460250854,0.24902118742465973,0.9969417333602905
seq_2_frame_105,UB_9,thickness,0.3043403923511505,0.27993208169937134,0.55996758043766
