scene,variant,param,min,max,mean,median,std,p25,p75,iqr
seq_1_frame_438,HO_128,eps_real,3.494785785675049,6.634637832641602,5.300688743591309,5.309999942779541,0.3423549234867096,5.200430870056152,5.462077856063843,0.26164698600769043
seq_1_frame_438,HO_128,eps_imag,0.0009118819725699723,0.059826627373695374,0.013077737763524055,0.010657522827386856,0.00859763752669096,0.006762949516996741,0.017082062549889088,0.010319113032892346
seq_1_frame_438,HO_128,sigma_h,6.49331752811122e-07,0.0006364915170706809,5.9304755268385634e-05,2.6090561732416973e-05,7.776696293149143e-05,9.994188076234423e-06,6.401953760359902e-05,5.40253495273646e-05
seq_1_frame_438,HO_128,l_c,0.0008321948116645217,0.17681652307510376,0.005997811909765005,0.004550199955701828,0.007457598578184843,0.0019511155551299453,0.006549759884364903,0.004598644329234958
seq_1_frame_438,HO_128,tau,0.09504328668117523,0.9337252378463745,0.5159887075424194,0.5,0.10795128345489502,0.4773424342274666,0.5,0.022657565772533417
seq_1_frame_438,HO_128,thickness,0.023801246657967567,0.4764307141304016,0.15234893560409546,0.14999999105930328,0.04518287628889084,0.13403895497322083,0.16925261914730072,0.035213664174079895
seq_1_frame_438,HO_8,eps_real,3.579070806503296,7.073116779327393,5.297059059143066,5.309999942779541,0.35024723410606384,5.196046590805054,5.464044809341431,0.26799821853637695
seq_1_frame_438,HO_8,eps_imag,0.0009118819725699723,0.05515347793698311,0.012634624727070332,0.009974561631679535,0.008733301423490047,0.006323738256469369,0.016267789993435144,0.009944051736965775
seq_1_frame_438,HO_8,sigma_h,6.37857453966717e-07,0.0007723281742073596,6.364168802974746e-05,2.5999614081229083e-05,8.424151019426063e-05,9.491048786003375e-06,7.19882136763772e-05,6.249716489037382e-05
seq_1_frame_438,HO_8,l_c,0.0007900585187599063,0.25237563252449036,0.005996310617774725,0.004165688995271921,0.008348386734724045,0.0017635983531363308,0.006475004134699702,0.004711405781563371
seq_1_frame_438,HO_8,tau,0.11837740242481232,0.9359071850776672,0.5164416432380676,0.5,0.10830285400152206,0.4775886908173561,0.5,0.02241130918264389
seq_1_frame_438,HO_8,thickness,0.024890704080462456,0.5429760217666626,0.15170827507972717,0.14999999105930328,0.04572126641869545,0.13305767998099327,0.16881504654884338,0.03575736656785011
seq_1_frame_438,UB_144,eps_real,3.531290054321289,6.700145244598389,5.293623447418213,5.309999942779541,0.3440811336040497,5.197784185409546,5.455205678939819,0.25742149353027344
seq_1_frame_438,UB_144,eps_imag,0.0009118819725699723,0.0630168691277504,0.012940337881445885,0.010453878901898861,0.008573341183364391,0.006722038728184998,0.016747544519603252,0.010025505791418254
seq_1_frame_438,UB_144,sigma_h,6.513344033010071e-07,0.000679953838698566,5.77680766582489e-05,2.4822969862725586e-05,7.70303449826315e-05,9.730719966682955e-06,6.007900810800493e-05,5.034828814132197e-05
seq_1_frame_438,UB_144,l_c,0.0008189420914277434,0.16299980878829956,0.006175335496664047,0.004633083939552307,0.008102896623313427,0.0019882721826434135,0.006618317565880716,0.004630045383237302
seq_1_frame_438,UB_144,tau,0.09995807707309723,0.9312393665313721,0.514335572719574,0.5,0.10685215145349503,0.477325439453125,0.5,0.022674560546875
seq_1_frame_438,UB_144,thickness,0.02402450703084469,0.5012127161026001,0.1515069305896759,0.14999999105930328,0.044785454869270325,0.13393031433224678,0.16806454956531525,0.034134235233068466
seq_1_frame_438,UB_9,eps_real,3.556511640548706,6.731776714324951,5.291874885559082,5.309999942779541,0.35145384073257446,5.194147229194641,5.458734393119812,0.2645871639251709
seq_1_frame_438,UB_9,eps_imag,0.0009118819725699723,0.05512246862053871,0.013103799894452095,0.010517602786421776,0.008801632560789585,0.006667003151960671,0.017123927362263203,0.010456924210302532
seq_1_frame_438,UB_9,sigma_h,6.672472636637394e-07,0.0009118819725699723,6.32375231361948e-05,2.6176245228271e-05,8.33849044283852e-05,9.296149301007972e-06,7.264037049026228e-05,6.334422118925431e-05
seq_1_frame_438,UB_9,l_c,0.0008284343057312071,0.19019758701324463,0.0060560861602425575,0.0044200969859957695,0.0081873694434762,0.0018362017872277647,0.0065523089142516255,0.004716107127023861
seq_1_frame_438,UB_9,tau,0.11015342175960541,0.9343604445457458,0.5155425071716309,0.5,0.10826832056045532,0.4768334999680519,0.5,0.02316650003194809
seq_1_frame_438,UB_9,thickness,0.023205935955047607,0.4903533458709717,0.15121902525424957,0.14999999105930328,0.045363835990428925,0.13294250145554543,0.16860371455550194,0.03566121309995651
seq_2_frame_105,HO_128,eps_real,3.6321651935577393,7.363073348999023,5.306237697601318,5.309999942779541,0.366095632314682,5.211495876312256,5.475850701332092,0.2643548250198364
seq_2_frame_105,HO_128,eps_imag,0.0009118819725699723,0.05468030646443367,0.013076447881758213,0.010096660815179348,0.00940167997032404,0.006046865717507899,0.01719661056995392,0.01114974485244602
seq_2_frame_105,HO_128,sigma_h,6.458423627009324e-07,0.0008341411012224853,7.411884143948555e-05,4.956321936333552e-05,8.064864960033447e-05,1.4745110775038484e-05,0.00010373544137110002,8.899033059606154e-05
seq_2_frame_105,HO_128,l_c,0.0008282190538011491,0.13991443812847137,0.0059745656326413155,0.004136010073125362,0.007908097468316555,0.0017629213398322463,0.005956145119853318,0.0041932237800210714
seq_2_frame_105,HO_128,tau,0.09125510603189468,0.9357209205627441,0.5109172463417053,0.5,0.09076844900846481,0.5,0.5,0.0
seq_2_frame_105,HO_128,thickness,0.023035796359181404,0.5584673285484314,0.15129153430461884,0.14999999105930328,0.04742422699928284,0.1337810605764389,0.1672213263809681,0.03344026580452919
seq_2_frame_105,HO_8,eps_real,3.5873219966888428,7.860061168670654,5.296114921569824,5.309999942779541,0.3751924932003021,5.194263458251953,5.4720165729522705,0.2777531147003174
seq_2_frame_105,HO_8,eps_imag,0.0009118819725699723,0.05536175146698952,0.01270283479243517,0.009508872404694557,0.009431537240743637,0.005853083683177829,0.016252549830824137,0.010399466147646308
seq_2_frame_105,HO_8,sigma_h,6.383960453604232e-07,0.0009118819725699723,7.749661017442122e-05,4.8812435125000775e-05,8.660813909955323e-05,1.3182326938476763e-05,0.00011955304762523156,0.0001063707206867548
seq_2_frame_105,HO_8,l_c,0.0007951494189910591,0.1370759755373001,0.0062049380503594875,0.004152856767177582,0.008390226401388645,0.0016912318242248148,0.006103496765717864,0.004412264941493049
seq_2_frame_105,HO_8,tau,0.0809415951371193,0.9392391443252563,0.5123202204704285,0.5,0.09257527440786362,0.5,0.5,0.0
seq_2_frame_105,HO_8,thickness,0.02288399450480938,0.5195594429969788,0.1500980406999588,0.14999999105930328,0.047468625009059906,0.13205158337950706,0.16683121770620346,0.034779634326696396
seq_2_frame_105,UB_144,eps_real,3.586775779724121,7.3712382316589355,5.301434516906738,5.309999942779541,0.36021316051483154,5.2088539600372314,5.47159218788147,0.2627382278442383
seq_2_frame_105,UB_144,eps_imag,0.0009118819725699723,0.05172688141465187,0.013300006277859211,0.010181091725826263,0.009404252283275127,0.006300768000073731,0.017553763929754496,0.011252995929680765
seq_2_frame_105,UB_144,sigma_h,6.188337238199892e-07,0.0008106054156087339,7.285231549758464e-05,4.7064764657989144e-05,8.106548921205103e-05,1.3470239764501457e-05,9.949275408871472e-05,8.602251432421326e-05
seq_2_frame_105,UB_144,l_c,0.0008399653015658259,0.12152818590402603,0.006049979943782091,0.004321597516536713,0.007560410536825657,0.0018025314493570477,0.006165630416944623,0.004363098967587575
seq_2_frame_105,UB_144,tau,0.13649386167526245,0.9374293684959412,0.5104665756225586,0.5,0.08935480564832687,0.5,0.5,0.0
seq_2_frame_105,UB_144,thickness,0.024921445176005363,0.6386370062828064,0.1509019136428833,0.14999999105930328,0.04606620967388153,0.1340036243200302,0.1671777255833149,0.03317410126328468
seq_2_frame_105,UB_9,eps_real,3.5455899238586426,7.2413740158081055,5.298252582550049,5.309999942779541,0.36396944522857666,5.196069002151489,5.4652029275894165,0.26913392543792725
seq_2_frame_105,UB_9,eps_imag,0.0009118819725699723,0.06374779343605042,0.013241717591881752,0.01010681688785553,0.009461159817874432,0.006311106728389859,0.017274516634643078,0.010963409906253219
seq_2_frame_105,UB_9,sigma_h,6.308375759545015e-07,0.0009118819725699723,7.578601798741147e-05,4.6662113163620234e-05,8.61498192534782e-05,1.2235258964210516e-05,0.00011290328620816581,0.0001006680272439553
seq_2_frame_105,UB_9,l_c,0.0008314820006489754,0.1322321742773056,0.006302630063146353,0.004234433639794588,0.008296272717416286,0.001719466206850484,0.00618903967551887,0.004469573468668386
seq_2_frame_105,UB_9,tau,0.11586315929889679,0.9403033256530762,0.5111672878265381,0.5,0.08965946733951569,0.5,0.5,0.0
seq_2_frame_105,UB_9,thickness,0.023974457755684853,0.5095992088317871,0.15047931671142578,0.14999999105930328,0.04622357338666916,0.13231487572193146,0.16701099276542664,0.03469611704349518
