scene,variant,param,mean_intra_var,total_var,ratio
seq_1_frame_438,HO_128,eps_real,0.12160428613424301,0.121790811419487,0.9984684586524963
seq_1_frame_438,HO_128,eps_imag,0.4794774651527405,0.48107361793518066,0.9966821074485779
seq_1_frame_438,HO_128,sigma_h,1.7744910717010498,1.7805628776550293,0.9965899586677551
seq_1_frame_438,HO_128,l_c,0.6827528476715088,0.6833390593528748,0.9991421103477478
seq_1_frame_438,HO_128,tau,0.37315401434898376,0.37767738103866577,0.9880232214927673
seq_1_frame_438,HO_128,thickness,0.1142006367444992,0.11427008360624313,0.9993922710418701
seq_1_frame_438,HO_8,eps_real,0.1271929144859314,0.12752468883991241,0.9973983764648438
seq_1_frame_438,HO_8,eps_imag,0.5025085806846619,0.504824697971344,0.9954120516777039
seq_1_frame_438,HO_8,sigma_h,1.9155552387237549,1.919873595237732,0.9977506995201111
seq_1_frame_438,HO_8,l_c,0.7346585392951965,0.7356423139572144,0.9986627101898193
seq_1_frame_438,HO_8,tau,0.3696368634700775,0.37306058406829834,0.9908226132392883
seq_1_frame_438,HO_8,thickness,0.1191907748579979,0.11938531696796417,0.9983704686164856
seq_1_frame_438,UB_144,eps_real,0.12284263223409653,0.12311287969350815,0.9978048801422119
seq_1_frame_438,UB_144,eps_imag,0.4725755751132965,0.4737496078014374,0.9975218176841736
seq_1_frame_438,UB_144,sigma_h,1.756373643875122,1.7639429569244385,0.9957088828086853
seq_1_frame_438,UB_144,l_c,0.6979215741157532,0.6992358565330505,0.9981204271316528
seq_1_frame_438,UB_144,tau,0.3607940375804901,0.3650117814540863,0.9884449243545532
seq_1_frame_438,UB_144,thickness,0.11505202949047089,0.11518429964780807,0.9988516569137573
seq_1_frame_438,UB_9,eps_real,0.12818266451358795,0.12847451865673065,0.9977282881736755
seq_1_frame_438,UB_9,eps_imag,0.48250165581703186,0.4848545491695404,0.9951472282409668
seq_1_frame_438,UB_9,sigma_h,1.9102007150650024,1.915374755859375,0.9972986578941345
seq_1_frame_438,UB_9,l_c,0.7169848084449768,0.7180603742599487,0.9985021352767944
seq_1_frame_438,UB_9,tau,0.3680189251899719,0.3713320195674896,0.9910778403282166
seq_1_frame_438,UB_9,thickness,0.1198403611779213,0.11995859444141388,0.9990143775939941
seq_2_frame_105,HO_128,eps_real,0.13911305367946625,0.1391529142856598,0.9997135400772095
seq_2_frame_105,HO_128,eps_imag,0.5793275833129883,0.5798839330673218,0.9990406036376953
seq_2_frame_105,HO_128,sigma_h,1.7043710947036743,1.7094879150390625,0.9970068335533142
seq_2_frame_105,HO_128,l_c,0.7104188203811646,0.7117400169372559,0.99814373254776
seq_2_frame_105,HO_128,tau,0.27124956250190735,0.2734808325767517,0.991841197013855
seq_2_frame_105,HO_128,thickness,0.1287563145160675,0.12884360551834106,0.9993225336074829
seq_2_frame_105,HO_8,eps_real,0.1461908370256424,0.14628644287586212,0.9993464350700378
seq_2_frame_105,HO_8,eps_imag,0.5831073522567749,0.5834816694259644,0.9993584752082825
seq_2_frame_105,HO_8,sigma_h,1.8795881271362305,1.8854377269744873,0.9968974590301514
seq_2_frame_105,HO_8,l_c,0.7799347043037415,0.780590832233429,0.9991594552993774
seq_2_frame_105,HO_8,tau,0.28271928429603577,0.2852708399295807,0.9910556674003601
seq_2_frame_105,HO_8,thickness,0.1353127509355545,0.13541769981384277,0.9992250204086304
seq_2_frame_105,UB_144,eps_real,0.1346978396177292,0.13473887741565704,0.9996954202651978
seq_2_frame_105,UB_144,eps_imag,0.5591185092926025,0.5596811175346375,0.998994767665863
seq_2_frame_105,UB_144,sigma_h,1.7472385168075562,1.750634789466858,0.9980599880218506
seq_2_frame_105,UB_144,l_c,0.7117376923561096,0.712959885597229,0.9982857704162598
seq_2_frame_105,UB_144,tau,0.2621937394142151,0.26427122950553894,0.9921388030052185
seq_2_frame_105,UB_144,thickness,0.12427641451358795,0.12431000918149948,0.9997297525405884
seq_2_frame_105,UB_9,eps_real,0.13746772706508636,0.13758543133735657,0.9991444945335388
seq_2_frame_105,UB_9,eps_imag,0.5590687394142151,0.5594803094863892,0.9992643594741821
seq_2_frame_105,UB_9,sigma_h,1.8984649181365967,1.9021039009094238,0.9980868697166443
seq_2_frame_105,UB_9,l_c,0.7810271978378296,0.781833291053772,0.9989689588546753
seq_2_frame_105,UB_9,tau,0.26397788524627686,0.266393780708313,0.9909310936927795
seq_2_frame_105,UB_9,thickness,0.12660351395606995,0.12666432559490204,0.9995198845863342
