scene,variant,L2_mean,L2_med,L2_p95,deg_mean,deg_med,deg_p95,frac_L2_gt_1,frac_deg_gt_5,frac_deg_gt_15
seq_1_frame_438,HO_128,2.0612220764160156,2.039079189300537,3.678812527656555,28.581512451171875,24.408863067626953,72.6940002441406,0.87235,0.90955,0.714
seq_1_frame_438,HO_8,2.1420702934265137,2.1408579349517822,3.73728084564209,29.0604305267334,24.573612213134766,74.32958946228025,0.8854,0.9082,0.7229
seq_1_frame_438,UB_144,2.071195602416992,2.06229829788208,3.687363791465759,28.21965980529785,24.03313446044922,71.96180801391597,0.87525,0.90745,0.71465
seq_1_frame_438,UB_9,2.1054439544677734,2.0998940467834473,3.6978060960769645,28.777572631835938,24.59634017944336,72.87918014526367,0.87605,0.9083,0.7211
seq_2_frame_105,HO_128,1.96366286277771,2.01761531829834,3.641095888614654,33.33174514770508,26.619123458862305,85.43937339782714,0.8196,0.8535,0.7008
seq_2_frame_105,HO_8,2.055485725402832,2.130192279815674,3.6880135893821704,33.85685348510742,27.278100967407227,86.14587478637695,0.84065,0.85325,0.70715
seq_2_frame_105,UB_144,1.959446668624878,2.015059232711792,3.6062455534935,32.70706558227539,25.98324203491211,85.26185302734372,0.8231,0.8539,0.6975
seq_2_frame_105,UB_9,2.022578477859497,2.102231979370117,3.640581035614013,33.09613037109375,26.49329376220703,85.56034774780272,0.8355,0.85035,0.6993
