scene,pair,param,mean,std,abs_mean,p95_abs
seq_1_frame_438,HO_128-HO_8,eps_real,0.003735837060958147,0.4647338092327118,0.30300262570381165,1.075044155120849
seq_1_frame_438,HO_128-HO_8,eps_imag,0.049435172230005264,0.7175542712211609,0.5429757833480835,1.4628288984298703
seq_1_frame_438,HO_128-HO_8,sigma_h,-0.01781541109085083,1.497329831123352,1.0592364072799683,3.313032293319702
seq_1_frame_438,HO_128-HO_8,l_c,0.041718240827322006,0.964963972568512,0.6724936366081238,2.0602905750274654
seq_1_frame_438,HO_128-HO_8,tau,-0.002022599335759878,0.5744695663452148,0.2690657079219818,1.3449164152145374
seq_1_frame_438,HO_128-HO_8,thickness,0.006277323700487614,0.45142436027526855,0.29302579164505005,1.0509908497333527
seq_1_frame_438,UB_144-UB_9,eps_real,0.0018221632344648242,0.4699476361274719,0.30478769540786743,1.108169531822204
seq_1_frame_438,UB_144-UB_9,eps_imag,-0.0067268600687384605,0.7267568111419678,0.549161970615387,1.479178535938262
seq_1_frame_438,UB_144-UB_9,sigma_h,-0.043194837868213654,1.5130642652511597,1.0772005319595337,3.3158820152282713
seq_1_frame_438,UB_144-UB_9,l_c,0.03423948213458061,0.9701590538024902,0.6771326065063477,2.0917377352714537
seq_1_frame_438,UB_144-UB_9,tau,-0.006392480805516243,0.574360728263855,0.2721683979034424,1.3533533096313464
seq_1_frame_438,UB_144-UB_9,thickness,0.0038141426630318165,0.45541271567344666,0.29393142461776733,1.0713675618171687
seq_1_frame_438,UB_144-HO_128,eps_real,-0.007189108058810234,0.44513624906539917,0.2815459370613098,1.050124585628509
seq_1_frame_438,UB_144-HO_128,eps_imag,-0.009764807298779488,0.6176183819770813,0.4560772478580475,1.2739459037780758
seq_1_frame_438,UB_144-HO_128,sigma_h,-0.029019922018051147,1.1224380731582642,0.735514760017395,2.5648611307144162
seq_1_frame_438,UB_144-HO_128,l_c,0.015517141669988632,0.7763590216636658,0.505302906036377,1.7422768354415892
seq_1_frame_438,UB_144-HO_128,tau,-0.009400760754942894,0.43831267952919006,0.19054265320301056,0.9536649376153943
seq_1_frame_438,UB_144-HO_128,thickness,-0.005675573833286762,0.4332488775253296,0.2743646502494812,1.0174932777881622
seq_1_frame_438,UB_9-HO_8,eps_real,-0.00527543481439352,0.45666760206222534,0.29300233721733093,1.0864264011383056
seq_1_frame_438,UB_9-HO_8,eps_imag,0.04639722779393196,0.6513032913208008,0.48244673013687134,1.3386572480201717
seq_1_frame_438,UB_9-HO_8,sigma_h,-0.0036405036225914955,1.2148178815841675,0.8010810613632202,2.7779960632324188
seq_1_frame_438,UB_9-HO_8,l_c,0.022995902225375175,0.8304780721664429,0.544877827167511,1.83052681684494
seq_1_frame_438,UB_9-HO_8,tau,-0.005030878819525242,0.46535420417785645,0.2072816640138626,1.0390345811843853
seq_1_frame_438,UB_9-HO_8,thickness,-0.003212392795830965,0.44294580817222595,0.2841624915599823,1.0580683946609493
seq_2_frame_105,HO_128-HO_8,eps_real,0.010342719033360481,0.5007636547088623,0.3276645839214325,1.1599486947059632
seq_2_frame_105,HO_128-HO_8,eps_imag,0.03599245101213455,0.6822149157524109,0.49801474809646606,1.4177138090133667
seq_2_frame_105,HO_128-HO_8,sigma_h,0.0199161134660244,1.4659489393234253,1.006264090538025,3.217024564743042
seq_2_frame_105,HO_128-HO_8,l_c,0.001402239315211773,0.9692716598510742,0.6458281874656677,2.1457346916198725
seq_2_frame_105,HO_128-HO_8,tau,-0.007732263766229153,0.5911266803741455,0.23866228759288788,1.3913638830184927
seq_2_frame_105,HO_128-HO_8,thickness,0.010117036290466785,0.4803377091884613,0.31248849630355835,1.1179735541343685
seq_2_frame_105,UB_144-UB_9,eps_real,0.00325202033855021,0.49263712763786316,0.3225647807121277,1.1475540757179257
seq_2_frame_105,UB_144-UB_9,eps_imag,0.006229836028069258,0.680165708065033,0.4941994249820709,1.4149999499320982
seq_2_frame_105,UB_144-UB_9,sigma_h,0.014735243283212185,1.5025264024734497,1.0330077409744263,3.305739068984985
seq_2_frame_105,UB_144-UB_9,l_c,0.003788219764828682,0.9776288866996765,0.6548200249671936,2.166008853912353
seq_2_frame_105,UB_144-UB_9,tau,-0.003281020326539874,0.5754133462905884,0.22907602787017822,1.3284156739711759
seq_2_frame_105,UB_144-UB_9,thickness,0.0036713131703436375,0.4729275405406952,0.30729198455810547,1.102786487340927
seq_2_frame_105,UB_144-HO_128,eps_real,-0.004838896449655294,0.4662860929965973,0.2951551377773285,1.088907432556152
seq_2_frame_105,UB_144-HO_128,eps_imag,0.025954855605959892,0.589853048324585,0.4231433570384979,1.231948161125183
seq_2_frame_105,UB_144-HO_128,sigma_h,-0.041359659284353256,1.055320382118225,0.6559081077575684,2.3743888854980466
seq_2_frame_105,UB_144-HO_128,l_c,0.02184508927166462,0.7028132677078247,0.4292551875114441,1.5958855390548705
seq_2_frame_105,UB_144-HO_128,tau,-0.002646451583132148,0.4565661549568176,0.16635547578334808,0.9335522413253781
seq_2_frame_105,UB_144-HO_128,thickness,-0.00040686968713998795,0.448932409286499,0.2846178114414215,1.0429391443729388
seq_2_frame_105,UB_9-HO_8,eps_real,0.002251802710816264,0.4839291274547577,0.3095223009586334,1.1155874848365779
seq_2_frame_105,UB_9-HO_8,eps_imag,0.05571746826171875,0.6203318238258362,0.4497395157814026,1.3206886529922481
seq_2_frame_105,UB_9-HO_8,sigma_h,-0.03617878630757332,1.1815537214279175,0.7543772459030151,2.6987865447998036
seq_2_frame_105,UB_9-HO_8,l_c,0.019459111616015434,0.778416633605957,0.48167818784713745,1.7515732526779173
seq_2_frame_105,UB_9-HO_8,tau,-0.007097695022821426,0.4874388873577118,0.18428881466388702,1.0398362278938287
seq_2_frame_105,UB_9-HO_8,thickness,0.006038852501660585,0.46565452218055725,0.297522634267807,1.0807146906852718
