scene,param,std_UB_144,std_UB_9,std_delta_9m144,iqr_delta_9m144
seq_1_frame_438,eps_real,0.3508744537830353,0.35843342542648315,0.007558971643447876,0.0072623491287231445
seq_1_frame_438,eps_imag,0.6882947087287903,0.6963149905204773,0.008020281791687012,0.030446171760559082
seq_1_frame_438,sigma_h,1.3281351327896118,1.3839706182479858,0.05583548545837402,0.2355480194091797
seq_1_frame_438,l_c,0.8362032175064087,0.8473844528198242,0.011181235313415527,0.06954312324523926
seq_1_frame_438,tau,0.6041620373725891,0.6093701720237732,0.005208134651184082,0.0021920334547758102
seq_1_frame_438,thickness,0.3393881320953369,0.34635040163993835,0.00696226954460144,0.010605812072753906
seq_2_frame_105,eps_real,0.36706793308258057,0.37092509865760803,0.003857165575027466,0.006515622138977051
seq_2_frame_105,eps_imag,0.7481184005737305,0.7479841709136963,-0.0001342296600341797,-0.01767551898956299
seq_2_frame_105,sigma_h,1.323115587234497,1.3791677951812744,0.056052207946777344,0.22260761260986328
seq_2_frame_105,l_c,0.8443695306777954,0.884213387966156,0.039843857288360596,0.05096769332885742
seq_2_frame_105,tau,0.5140731930732727,0.5161334872245789,0.0020602941513061523,0.0
seq_2_frame_105,thickness,0.35257625579833984,0.3558993339538574,0.003323078155517578,0.011684507131576538
