scene,variant,reported,measured,delta,final_train_cc,seed_frame
seq_1_frame_438,HO_128,0.5117721557617188,0.5117654204368591,6.735324859619141e-06,0.8360097636468709,438
seq_1_frame_438,HO_8,0.5671797394752502,0.5669949650764465,0.00018477439880371094,0.8657022416591644,438
seq_1_frame_438,UB_144,0.8309111595153809,0.8304030895233154,0.0005080699920654297,0.8367800617383586,438
seq_1_frame_438,UB_9,0.9090242385864258,0.9081863760948181,0.000837862491607666,0.8682534827126397,438
seq_2_frame_105,HO_128,0.5900381207466125,0.5901859402656555,0.00014781951904296875,0.7701031812466681,105
seq_2_frame_105,HO_8,0.5633293390274048,0.563430666923523,0.00010132789611816406,0.7866508513689041,105
seq_2_frame_105,UB_144,0.7318856716156006,0.7315738797187805,0.00031179189682006836,0.7565617830389075,105
seq_2_frame_105,UB_9,0.8063332438468933,0.8057719469070435,0.0005612969398498535,0.7834508882628547,105
