scene,param,raw_std_UB_144,raw_std_UB_9,std_delta_9_minus_144,iqr_UB_144,iqr_UB_9,iqr_delta_9_minus_144
seq_1_frame_438,eps_real,0.2171052098274231,0.21172527968883514,-0.005379930138587952,0.17237961292266846,0.17360055446624756,0.0012209415435791016
seq_1_frame_438,eps_imag,0.5524289608001709,0.5426310300827026,-0.009797930717468262,0.7694758176803589,0.7062545418739319,-0.063221275806427
seq_1_frame_438,sigma_h,0.8791690468788147,0.8636490106582642,-0.015520036220550537,0.946357011795044,0.845961332321167,-0.10039567947387695
seq_1_frame_438,l_c,0.6010726690292358,0.5949222445487976,-0.006150424480438232,0.6833804845809937,0.7072930335998535,0.023912549018859863
seq_1_frame_438,tau,0.37677061557769775,0.3857768476009369,0.009006232023239136,0.09542408771812916,0.09158180467784405,-0.0038422830402851105
seq_1_frame_438,thickness,0.21043488383293152,0.2051546573638916,-0.005280226469039917,0.15820372104644775,0.1613864302635193,0.003182709217071533
seq_2_frame_105,eps_real,0.26174816489219666,0.2596083879470825,-0.0021397769451141357,0.17751336097717285,0.1894131898880005,0.011899828910827637
seq_2_frame_105,eps_imag,0.6322638392448425,0.6070694923400879,-0.02519434690475464,0.906869113445282,0.8390229344367981,-0.06784617900848389
seq_2_frame_105,sigma_h,1.0311546325683594,1.0570541620254517,0.025899529457092285,1.2413804531097412,1.3304901123046875,0.08910965919494629
seq_2_frame_105,l_c,0.7276606559753418,0.737663745880127,0.010003089904785156,0.8526289463043213,0.9090734720230103,0.056444525718688965
seq_2_frame_105,tau,0.3333304822444916,0.3527173697948456,0.019386887550354004,0.0,0.0,0.0
seq_2_frame_105,thickness,0.2517488896846771,0.24855799973011017,-0.0031908899545669556,0.15350067615509033,0.16578572988510132,0.012285053730010986
