scene,variant,param,min,max,mean,median,std,p25,p75,iqr
seq_1_frame_438,HO_128,eps_real,3.612459897994995,6.784749984741211,5.311686992645264,5.309999942779541,0.22196100652217865,5.2273077964782715,5.4038426876068115,0.17653489112854004
seq_1_frame_438,HO_128,eps_imag,0.0009118819725699723,0.07507356256246567,0.020475106313824654,0.02024156227707863,0.009234931319952011,0.012930236058309674,0.027855772525072098,0.014925536466762424
seq_1_frame_438,HO_128,sigma_h,6.36985134860879e-07,0.0009118819725699723,5.195212361286394e-05,3.996279701823369e-05,5.0893635489046574e-05,2.199413847847609e-05,5.735526883654529e-05,3.5361130358069204e-05
seq_1_frame_438,HO_128,l_c,0.0008581252186559141,0.12151103466749191,0.00523828761652112,0.004999999888241291,0.004033692181110382,0.0029338287422433496,0.006142312660813332,0.003208483918569982
seq_1_frame_438,HO_128,tau,0.10587647557258606,0.935452401638031,0.5016321539878845,0.5,0.07236548513174057,0.4779607802629471,0.5,0.022039219737052917
seq_1_frame_438,HO_128,thickness,0.024839377030730247,0.555747389793396,0.15156245231628418,0.14999999105930328,0.031014693900942802,0.13819997385144234,0.16281741857528687,0.024617444723844528
seq_1_frame_438,HO_8,eps_real,3.5923337936401367,7.092339992523193,5.315886974334717,5.309999942779541,0.22362837195396423,5.230695605278015,5.410464763641357,0.17976915836334229
seq_1_frame_438,HO_8,eps_imag,0.0009118819725699723,0.07317539304494858,0.02095125801861286,0.02088014967739582,0.009499677456915379,0.013202633708715439,0.02867683069780469,0.01547419698908925
seq_1_frame_438,HO_8,sigma_h,6.192292403284227e-07,0.0008319206535816193,5.499257531482726e-05,4.2062798456754535e-05,5.3744061006000265e-05,2.370487982261693e-05,6.001555721013574e-05,3.631067738751881e-05
seq_1_frame_438,HO_8,l_c,0.000845824892167002,0.14331744611263275,0.005117338616400957,0.004977254197001457,0.004119549877941608,0.0027723697130568326,0.006046180264092982,0.0032738105510361493
seq_1_frame_438,HO_8,tau,0.11987632513046265,0.9348744750022888,0.5027892589569092,0.5,0.07435476779937744,0.4784449264407158,0.5,0.02155507355928421
seq_1_frame_438,HO_8,thickness,0.022956861183047295,0.5476627349853516,0.15177515149116516,0.14999999105930328,0.03116767480969429,0.13818280398845673,0.16327398642897606,0.025091182440519333
seq_1_frame_438,UB_144,eps_real,3.550926446914673,6.564117431640625,5.309310436248779,5.309999942779541,0.21341471374034882,5.227092504501343,5.39715850353241,0.1700659990310669
seq_1_frame_438,UB_144,eps_imag,0.0009118819725699723,0.06419718265533447,0.020107608288526535,0.019817955791950226,0.009039781987667084,0.012659367872402072,0.027326947078108788,0.014667579205706716
seq_1_frame_438,UB_144,sigma_h,6.49499611427018e-07,0.0008777515613473952,5.013687405153178e-05,3.8580867112614214e-05,4.932823867420666e-05,2.1504745291167637e-05,5.540282563742949e-05,3.389808034626185e-05
seq_1_frame_438,UB_144,l_c,0.0008449642919003963,0.14677946269512177,0.005324753932654858,0.004999999888241291,0.004100612830370665,0.0031203635153360665,0.0061800722032785416,0.003059708687942475
seq_1_frame_438,UB_144,tau,0.08132591098546982,0.9334349632263184,0.5009667277336121,0.5,0.07184431701898575,0.4785458892583847,0.5,0.021454110741615295
seq_1_frame_438,UB_144,thickness,0.024319171905517578,0.5055269002914429,0.15137366950511932,0.14999999105930328,0.02991607040166855,0.13833552598953247,0.1620469018816948,0.023711375892162323
seq_1_frame_438,UB_9,eps_real,3.537717819213867,6.714026927947998,5.316442012786865,5.309999942779541,0.20816999673843384,5.231273055076599,5.402554750442505,0.17128169536590576
seq_1_frame_438,UB_9,eps_imag,0.0009118819725699723,0.06310348212718964,0.021526332944631577,0.021746456623077393,0.00916422437876463,0.01423891494050622,0.028853555675596,0.014614640735089779
seq_1_frame_438,UB_9,sigma_h,6.3608791833758e-07,0.0009118819725699723,5.338731352821924e-05,4.181611802778207e-05,5.069647158961743e-05,2.4903462872316595e-05,5.80304695176892e-05,3.31270066453726e-05
seq_1_frame_438,UB_9,l_c,0.0008542553405277431,0.11793525516986847,0.005124957300722599,0.004999999888241291,0.0038538023363798857,0.002972672402393073,0.0060300445184111595,0.0030573721160180867
seq_1_frame_438,UB_9,tau,0.10200917720794678,0.9343579411506653,0.5021642446517944,0.5,0.0735698789358139,0.47940848767757416,0.5,0.020591512322425842
seq_1_frame_438,UB_9,thickness,0.023219861090183258,0.5446432828903198,0.15177375078201294,0.14999999105930328,0.02944491058588028,0.138404481112957,0.16264449432492256,0.02424001321196556
seq_2_frame_105,HO_128,eps_real,3.517465591430664,7.301748752593994,5.301870822906494,5.309999942779541,0.2696535289287567,5.222361087799072,5.411369204521179,0.18900811672210693
seq_2_frame_105,HO_128,eps_imag,0.0009118819725699723,0.08909419924020767,0.018547572195529938,0.017627345398068428,0.009539893828332424,0.010585813084617257,0.026329186279326677,0.01574337319470942
seq_2_frame_105,HO_128,sigma_h,6.196723347784427e-07,0.0009118819725699723,6.351200863718987e-05,4.576892388286069e-05,6.669871072517708e-05,1.9919098122045398e-05,7.183219531725626e-05,5.191309719521087e-05
