scene,pair,param,mean,std,abs_mean,p95_abs
seq_1_frame_438,HO_128-HO_8,eps_real,-0.004247106611728668,0.29350489377975464,0.1757649928331375,0.6233816146850586
seq_1_frame_438,HO_128-HO_8,eps_imag,-0.018162677064538002,0.5532182455062866,0.3937966227531433,1.1719497442245483
seq_1_frame_438,HO_128-HO_8,sigma_h,-0.05207037180662155,1.0406806468963623,0.7042062282562256,2.310639047622682
seq_1_frame_438,HO_128-HO_8,l_c,0.03063531406223774,0.7140344977378845,0.48348468542099,1.5369451999664308
seq_1_frame_438,HO_128-HO_8,tau,-0.0054620313458144665,0.4460805356502533,0.19797265529632568,0.9948089331388476
seq_1_frame_438,HO_128-HO_8,thickness,-0.0011328255059197545,0.2864830195903778,0.16972696781158447,0.6071788907051088
seq_1_frame_438,UB_144-UB_9,eps_real,-0.007250064518302679,0.278050035238266,0.16668309271335602,0.5843444228172309
seq_1_frame_438,UB_144-UB_9,eps_imag,-0.07620919495820999,0.5425198674201965,0.3933885991573334,1.1568093657493592
seq_1_frame_438,UB_144-UB_9,sigma_h,-0.08046597242355347,0.9984227418899536,0.6783666014671326,2.2083488464355474
seq_1_frame_438,UB_144-UB_9,l_c,0.034594375640153885,0.6817595958709717,0.45797696709632874,1.482258176803589
seq_1_frame_438,UB_144-UB_9,tau,-0.005790960043668747,0.43114665150642395,0.1925409883260727,0.9865310728549966
seq_1_frame_438,UB_144-UB_9,thickness,-0.003548435401171446,0.2707963287830353,0.16121141612529755,0.5722339749336243
seq_1_frame_438,UB_144-HO_128_NN,eps_real,-0.0022109837736934423,0.3064008355140686,0.20039916038513184,0.6451342821121216
seq_1_frame_438,UB_144-HO_128_NN,eps_imag,-0.01972685195505619,0.6447913646697998,0.4828736186027527,1.3314162731170656
seq_1_frame_438,UB_144-HO_128_NN,sigma_h,-0.032669320702552795,1.1832592487335205,0.8739221096038818,2.4814081668853762
seq_1_frame_438,UB_144-HO_128_NN,l_c,0.02489776723086834,0.8147425055503845,0.602584183216095,1.6462776899337772
seq_1_frame_438,UB_144-HO_128_NN,tau,0.0003490386006888002,0.5011560320854187,0.25394102931022644,1.1521592736244204
seq_1_frame_438,UB_144-HO_128_NN,thickness,0.00030555890407413244,0.2985316812992096,0.1925172358751297,0.6267241597175598
seq_1_frame_438,UB_9-HO_8_NN,eps_real,0.0020354953594505787,0.3047467768192291,0.20068368315696716,0.6402070999145509
seq_1_frame_438,UB_9-HO_8_NN,eps_imag,0.03831672668457031,0.6357958316802979,0.46845099329948425,1.3398022890090944
seq_1_frame_438,UB_9-HO_8_NN,sigma_h,-0.0051717511378228664,1.1938233375549316,0.8752917647361755,2.5274497985839854
seq_1_frame_438,UB_9-HO_8_NN,l_c,0.022692013531923294,0.8286514282226562,0.6162381768226624,1.669022297859192
seq_1_frame_438,UB_9-HO_8_NN,tau,0.0007170452736318111,0.5229851603507996,0.27134382724761963,1.2085942029953003
seq_1_frame_438,UB_9-HO_8_NN,thickness,0.00409651268273592,0.2967364490032196,0.19289810955524445,0.6220174551010133
seq_2_frame_105,HO_128-HO_8,eps_real,-0.003067322541028261,0.3649127185344696,0.22601991891860962,0.8149867177009588
seq_2_frame_105,HO_128-HO_8,eps_imag,-0.005303197540342808,0.5891585350036621,0.414150208234787,1.2562602281570439
seq_2_frame_105,HO_128-HO_8,sigma_h,-0.03307477384805679,1.205203890800476,0.8277019262313843,2.6385135650634766
seq_2_frame_105,HO_128-HO_8,l_c,0.02007140778005123,0.8488321304321289,0.5757746696472168,1.841773581504822
seq_2_frame_105,HO_128-HO_8,tau,-0.004624325316399336,0.4303279519081116,0.1595771759748459,0.9270700544118883
seq_2_frame_105,HO_128-HO_8,thickness,-0.00013309516361914575,0.35157066583633423,0.21462909877300262,0.7922091126441957
seq_2_frame_105,UB_144-UB_9,eps_real,-0.006957933772355318,0.34586867690086365,0.21209143102169037,0.7624240756034851
seq_2_frame_105,UB_144-UB_9,eps_imag,-0.0673103928565979,0.5724849104881287,0.4054538607597351,1.2316331624984742
seq_2_frame_105,UB_144-UB_9,sigma_h,-0.04793151095509529,1.1864242553710938,0.8108348250389099,2.6184079170227053
seq_2_frame_105,UB_144-UB_9,l_c,0.024160658940672874,0.8207037448883057,0.5487285256385803,1.8004717588424686
seq_2_frame_105,UB_144-UB_9,tau,-0.009243379347026348,0.41256991028785706,0.151733860373497,0.8897920936346054
seq_2_frame_105,UB_144-UB_9,thickness,-0.0027108071371912956,0.33236896991729736,0.20131747424602509,0.7326265096664432
seq_2_frame_105,UB_144-HO_128_NN,eps_real,-0.0007494837627746165,0.3744252026081085,0.24426312744617462,0.8295700311660767
seq_2_frame_105,UB_144-HO_128_NN,eps_imag,0.009415282867848873,0.710514485836029,0.5227019786834717,1.4786287307739259
seq_2_frame_105,UB_144-HO_128_NN,sigma_h,-0.024920305237174034,1.406982421875,1.044924020767212,2.9653116226196294
seq_2_frame_105,UB_144-HO_128_NN,l_c,0.021744417026638985,0.9890597462654114,0.736355185508728,2.0215097665786743
seq_2_frame_105,UB_144-HO_128_NN,tau,-0.004576787818223238,0.4668896198272705,0.18767380714416504,1.024464255571366
seq_2_frame_105,UB_144-HO_128_NN,thickness,0.0027878081891685724,0.3604324162006378,0.22958038747310638,0.8079338908195502
seq_2_frame_105,UB_9-HO_8_NN,eps_real,0.0024496789555996656,0.3756467401981354,0.24860824644565582,0.8272965788841254
seq_2_frame_105,UB_9-HO_8_NN,eps_imag,0.07361762225627899,0.7057875990867615,0.525364100933075,1.471957802772522
seq_2_frame_105,UB_9-HO_8_NN,sigma_h,-0.014424704015254974,1.4541767835617065,1.1001068353652954,2.992488718032837
seq_2_frame_105,UB_9-HO_8_NN,l_c,0.016867443919181824,1.0151872634887695,0.762784481048584,2.068551111221314
seq_2_frame_105,UB_9-HO_8_NN,tau,0.0009880653815343976,0.48749297857284546,0.2030307501554489,1.1127827823162082
seq_2_frame_105,UB_9-HO_8_NN,thickness,0.004660742357373238,0.3597736954689026,0.23224948346614838,0.7968522310256965
