scene,variant,reported_cc,measured_cc,delta
seq_1_frame_438,HO_128,0.4904465973377228,0.4873925447463989,0.0030540525913238525
seq_1_frame_438,HO_8,0.5002923011779785,0.49928346276283264,0.001008838415145874
seq_1_frame_438,UB_144,0.912585973739624,0.9117711186408997,0.0008148550987243652
seq_1_frame_438,UB_9,0.9509797096252441,0.9500440955162048,0.0009356141090393066
seq_2_frame_105,HO_128,0.5043179392814636,0.4994400143623352,0.004877924919128418
seq_2_frame_105,HO_8,0.5115888118743896,0.5080146193504333,0.003574192523956299
seq_2_frame_105,UB_144,0.8227525949478149,0.8216651082038879,0.001087486743927002
seq_2_frame_105,UB_9,0.8814133405685425,0.8799303770065308,0.0014829635620117188
