scene,variant,param,mean_intra_bin_var,total_var,ratio_intra_over_total
seq_1_frame_438,HO_128,eps_real,0.05076427385210991,0.05100202187895775,0.9953384399414062
seq_1_frame_438,HO_128,eps_imag,0.29793399572372437,0.318464457988739,0.9355329275131226
seq_1_frame_438,HO_128,sigma_h,0.8064032793045044,0.8148822784423828,0.9895948171615601
seq_1_frame_438,HO_128,l_c,0.3803829252719879,0.3815394937992096,0.996968686580658
seq_1_frame_438,HO_128,tau,0.1470877230167389,0.14734040200710297,0.9982850551605225
seq_1_frame_438,HO_128,thickness,0.047993071377277374,0.048073265701532364,0.9983318448066711
seq_1_frame_438,HO_8,eps_real,0.05157556012272835,0.05179391801357269,0.9957841038703918
seq_1_frame_438,HO_8,eps_imag,0.3058478534221649,0.33480778336524963,0.9135028123855591
seq_1_frame_438,HO_8,sigma_h,0.826196014881134,0.8306472897529602,0.9946411848068237
seq_1_frame_438,HO_8,l_c,0.38979271054267883,0.3903747797012329,0.9985089302062988
seq_1_frame_438,HO_8,tau,0.15326985716819763,0.15345080196857452,0.9988208413124084
seq_1_frame_438,HO_8,thickness,0.04876340180635452,0.04887884110212326,0.9976382851600647
seq_1_frame_438,UB_144,eps_real,0.04690619930624962,0.047134675085544586,0.9951527118682861
seq_1_frame_438,UB_144,eps_imag,0.2849099040031433,0.3051777482032776,0.9335867762565613
seq_1_frame_438,UB_144,sigma_h,0.7630398869514465,0.7729382514953613,0.9871938228607178
seq_1_frame_438,UB_144,l_c,0.3599110543727875,0.3612883388996124,0.9961878657341003
seq_1_frame_438,UB_144,tau,0.14171648025512695,0.14195609092712402,0.9983120560646057
seq_1_frame_438,UB_144,thickness,0.04421623796224594,0.04428284242749214,0.9984959363937378
seq_1_frame_438,UB_9,eps_real,0.04468487203121185,0.04482759162783623,0.9968162775039673
seq_1_frame_438,UB_9,eps_imag,0.27238690853118896,0.2944484055042267,0.9250751733779907
seq_1_frame_438,UB_9,sigma_h,0.7421442866325378,0.7458896636962891,0.994978666305542
seq_1_frame_438,UB_9,l_c,0.35338032245635986,0.3539324998855591,0.9984399080276489
seq_1_frame_438,UB_9,tau,0.14859144389629364,0.14882376790046692,0.9984389543533325
seq_1_frame_438,UB_9,thickness,0.042027898132801056,0.04208843410015106,0.998561680316925
seq_2_frame_105,HO_128,eps_real,0.07542888820171356,0.07546567171812057,0.9995125532150269
seq_2_frame_105,HO_128,eps_imag,0.4189620912075043,0.4214172661304474,0.9941740036010742
seq_2_frame_105,HO_128,sigma_h,1.0991958379745483,1.1003286838531494,0.9989704489707947
seq_2_frame_105,HO_128,l_c,0.5551270246505737,0.557568371295929,0.9956214427947998
seq_2_frame_105,HO_128,tau,0.12758806347846985,0.12790736556053162,0.9975036382675171
seq_2_frame_105,HO_128,thickness,0.07051587104797363,0.070536769926548,0.9997037053108215
seq_2_frame_105,HO_8,eps_real,0.07615400850772858,0.07619114220142365,0.9995126128196716
seq_2_frame_105,HO_8,eps_imag,0.41451168060302734,0.4172605872154236,0.9934120178222656
seq_2_frame_105,HO_8,sigma_h,1.1534185409545898,1.1537058353424072,0.9997509717941284
seq_2_frame_105,HO_8,l_c,0.5748148560523987,0.5760330557823181,0.9978851675987244
seq_2_frame_105,HO_8,tau,0.13431605696678162,0.13468118011951447,0.9972890019416809
seq_2_frame_105,HO_8,thickness,0.0704692080616951,0.07047731429338455,0.9998849630355835
seq_2_frame_105,UB_144,eps_real,0.06846322864294052,0.06851209700107574,0.9992867112159729
seq_2_frame_105,UB_144,eps_imag,0.3970598578453064,0.39975759387016296,0.9932515621185303
seq_2_frame_105,UB_144,sigma_h,1.0619285106658936,1.0632798671722412,0.9987290501594543
seq_2_frame_105,UB_144,l_c,0.527448832988739,0.529490053653717,0.9961449503898621
seq_2_frame_105,UB_144,tau,0.11076223850250244,0.11110921204090118,0.9968771934509277
seq_2_frame_105,UB_144,thickness,0.06336615234613419,0.0633775070309639,0.9998208284378052
seq_2_frame_105,UB_9,eps_real,0.06733805686235428,0.06739651411771774,0.9991326332092285
seq_2_frame_105,UB_9,eps_imag,0.36596375703811646,0.36853334307670593,0.9930275082588196
seq_2_frame_105,UB_9,sigma_h,1.1171528100967407,1.1173635721206665,0.9998113512992859
seq_2_frame_105,UB_9,l_c,0.5429697036743164,0.544147789478302,0.9978349804878235
seq_2_frame_105,UB_9,tau,0.12412433326244354,0.12440954893827438,0.9977074265480042
seq_2_frame_105,UB_9,thickness,0.06176499277353287,0.061781082302331924,0.9997395873069763
