scene,variant,param,nbr_std_mean,nbr_std_median,nbr_std_p95
seq_1_frame_438,HO_128,eps_real,0.17991989850997925,0.14524400234222412,0.41825291216373456
seq_1_frame_438,HO_128,eps_imag,0.4089544415473938,0.3972325325012207,0.7199362426996232
seq_1_frame_438,HO_128,sigma_h,0.7506891489028931,0.7151319980621338,1.3301017701625828
seq_1_frame_438,HO_128,l_c,0.5224505066871643,0.5133901834487915,0.8831094890832901
seq_1_frame_438,HO_128,tau,0.2596801519393921,0.19619812071323395,0.7236076712608338
seq_1_frame_438,HO_128,thickness,0.173706516623497,0.13736680150032043,0.41310496479272846
seq_1_frame_438,HO_8,eps_real,0.18119607865810394,0.14544636011123657,0.4204872012138367
seq_1_frame_438,HO_8,eps_imag,0.4030236005783081,0.3909919261932373,0.7286974102258683
seq_1_frame_438,HO_8,sigma_h,0.7601019740104675,0.7347334623336792,1.338990354537964
seq_1_frame_438,HO_8,l_c,0.5370643138885498,0.5275255441665649,0.8990154623985293
seq_1_frame_438,HO_8,tau,0.27556559443473816,0.21559350192546844,0.7293595820665361
seq_1_frame_438,HO_8,thickness,0.17486582696437836,0.1379762589931488,0.4149460271000862
seq_1_frame_438,UB_144,eps_real,0.17221257090568542,0.13773977756500244,0.4011843964457512
seq_1_frame_438,UB_144,eps_imag,0.4111543893814087,0.40335702896118164,0.6982255697250368
seq_1_frame_438,UB_144,sigma_h,0.7291132211685181,0.6898930668830872,1.3127783179283143
seq_1_frame_438,UB_144,l_c,0.5026245713233948,0.4926183223724365,0.8698087394237518
seq_1_frame_438,UB_144,tau,0.2578636407852173,0.19643834233283997,0.7142414659261707
seq_1_frame_438,UB_144,thickness,0.16632753610610962,0.1309320628643036,0.39484283328056335
seq_1_frame_438,UB_9,eps_real,0.16757744550704956,0.13425317406654358,0.39076329022645956
seq_1_frame_438,UB_9,eps_imag,0.3829282224178314,0.367472767829895,0.7026701182126999
seq_1_frame_438,UB_9,sigma_h,0.7121584415435791,0.6771715879440308,1.2997016131877899
seq_1_frame_438,UB_9,l_c,0.503190815448761,0.4950200915336609,0.8683718770742417
seq_1_frame_438,UB_9,tau,0.27168112993240356,0.21528808772563934,0.7120889514684677
seq_1_frame_438,UB_9,thickness,0.16155201196670532,0.1275302767753601,0.38384575843811036
seq_2_frame_105,HO_128,eps_real,0.2232699692249298,0.18740087747573853,0.4843377143144609
seq_2_frame_105,HO_128,eps_imag,0.45587360858917236,0.439843088388443,0.807615688443184
seq_2_frame_105,HO_128,sigma_h,0.8826990723609924,0.8526498079299927,1.5207052290439607
seq_2_frame_105,HO_128,l_c,0.6421831846237183,0.6274518966674805,1.022082191705704
seq_2_frame_105,HO_128,tau,0.2086794525384903,0.12800461053848267,0.7420489579439166
seq_2_frame_105,HO_128,thickness,0.21229344606399536,0.1753179430961609,0.4784548625349999
seq_2_frame_105,HO_8,eps_real,0.22705258429050446,0.19327417016029358,0.4842197984457016
seq_2_frame_105,HO_8,eps_imag,0.46623867750167847,0.4493982791900635,0.8099785089492798
seq_2_frame_105,HO_8,sigma_h,0.9314241409301758,0.9211547374725342,1.5128230273723609
seq_2_frame_105,HO_8,l_c,0.6646167635917664,0.656253457069397,1.0234028995037079
seq_2_frame_105,HO_8,tau,0.2247171849012375,0.1548067182302475,0.75936096906662
seq_2_frame_105,HO_8,thickness,0.21469847857952118,0.1788032501935959,0.4767384707927705
seq_2_frame_105,UB_144,eps_real,0.2116158902645111,0.17691051959991455,0.47095907777547846
seq_2_frame_105,UB_144,eps_imag,0.4536351263523102,0.4394487738609314,0.7919991105794908
seq_2_frame_105,UB_144,sigma_h,0.8739985823631287,0.84208744764328,1.5085145175457
seq_2_frame_105,UB_144,l_c,0.6194921135902405,0.6046991348266602,1.0193390488624574
seq_2_frame_105,UB_144,tau,0.1949382871389389,0.118562251329422,0.7045046091079712
seq_2_frame_105,UB_144,thickness,0.20039141178131104,0.1641930490732193,0.4618700727820397
seq_2_frame_105,UB_9,eps_real,0.2124508023262024,0.1803591251373291,0.46046632230281836
seq_2_frame_105,UB_9,eps_imag,0.43998754024505615,0.4219578802585602,0.7686237663030625
seq_2_frame_105,UB_9,sigma_h,0.9167284965515137,0.9078066945075989,1.492118090391159
seq_2_frame_105,UB_9,l_c,0.6395384073257446,0.6302767992019653,1.0146799743175507
seq_2_frame_105,UB_9,tau,0.21443353593349457,0.14228680729866028,0.7360018104314805
seq_2_frame_105,UB_9,thickness,0.2002882957458496,0.16710448265075684,0.45300106406211854
