scene,variant,std_eps_real,std_eps_imag,std_sigma_h,std_l_c,std_tau,std_thickness
seq_0_frame_135,HO_base,0.3619749844074249,0.7474623918533325,1.376092553138733,0.8672670125961304,0.4191947877407074,0.3509425222873688
seq_0_frame_135,HO_S4_jit,0.35741284489631653,0.692081093788147,1.3475184440612793,0.8037102222442627,0.5278245210647583,0.34103500843048096
seq_0_frame_135,HO_S4_ann,0.36611226201057434,0.718686580657959,1.369144082069397,0.8066084980964661,0.45015329122543335,0.35101282596588135
seq_0_frame_135,UB_9,0.3421270549297333,0.7348801493644714,1.355093240737915,0.8470658659934998,0.3773528039455414,0.33120736479759216
seq_0_frame_390,HO_base,0.42808184027671814,0.800000786781311,1.6055195331573486,0.988631546497345,0.8472505211830139,0.41142183542251587
seq_0_frame_390,HO_S4_jit,0.43199044466018677,0.7849434614181519,1.6572414636611938,1.0135390758514404,1.055019736289978,0.4159296154975891
seq_0_frame_390,HO_S4_ann,0.43752244114875793,0.8055928349494934,1.65121591091156,0.9957109689712524,0.971652090549469,0.4203752875328064
seq_0_frame_390,UB_9,0.4184645712375641,0.790727972984314,1.6000431776046753,0.9798942804336548,0.8177505135536194,0.40307122468948364
seq_1_frame_185,HO_base,0.34912970662117004,0.8121740221977234,1.3547908067703247,0.8837687373161316,0.5362468361854553,0.32964757084846497
seq_1_frame_185,HO_S4_jit,0.35414913296699524,0.7405139207839966,1.3737800121307373,0.8912324905395508,0.5969997644424438,0.32816168665885925
seq_1_frame_185,HO_S4_ann,0.3615696132183075,0.7639696002006531,1.3788425922393799,0.8952085375785828,0.5816947817802429,0.3357428312301636
seq_1_frame_185,UB_9,0.3509294390678406,0.8019975423812866,1.3572826385498047,0.8924673795700073,0.5363762378692627,0.3290866017341614
seq_1_frame_438,HO_base,0.3571060001850128,0.7105101943016052,1.3855950832366943,0.8576959371566772,0.6107868552207947,0.34552180767059326
seq_1_frame_438,HO_S4_jit,0.3526371419429779,0.6869820952415466,1.3773781061172485,0.8711365461349487,0.7429785132408142,0.3382630944252014
seq_1_frame_438,HO_S4_ann,0.3693748712539673,0.7287271618843079,1.3805861473083496,0.8405699133872986,0.7488762736320496,0.3547656536102295
seq_1_frame_438,UB_9,0.35843342542648315,0.6963149905204773,1.3839706182479858,0.8473844528198242,0.6093701720237732,0.34635040163993835
seq_2_frame_105,HO_base,0.3824740946292877,0.7638596892356873,1.373112440109253,0.8835105299949646,0.534107506275177,0.36799144744873047
seq_2_frame_105,HO_S4_jit,0.3953731060028076,0.6966631412506104,1.3632382154464722,0.8421945571899414,0.6037555932998657,0.3660427927970886
seq_2_frame_105,HO_S4_ann,0.39996111392974854,0.7429781556129456,1.3934431076049805,0.841983437538147,0.6072584390640259,0.37346571683883667
seq_2_frame_105,UB_9,0.37092509865760803,0.7479841709136963,1.3791677951812744,0.884213387966156,0.5161334872245789,0.3558993339538574
seq_2_frame_160,HO_base,0.3548012971878052,0.7058509588241577,1.3380120992660522,0.8498120903968811,0.5466096997261047,0.34392789006233215
seq_2_frame_160,HO_S4_jit,0.35238534212112427,0.6754512786865234,1.315829873085022,0.7972477078437805,0.6359450817108154,0.34102800488471985
seq_2_frame_160,HO_S4_ann,0.3656820058822632,0.6996616125106812,1.3302336931228638,0.7981178164482117,0.6001139879226685,0.35295605659484863
seq_2_frame_160,UB_9,0.33979126811027527,0.6972561478614807,1.3399347066879272,0.8430513143539429,0.5227543711662292,0.3288057744503021
seq_2_frame_300,HO_base,0.3297399580478668,0.752115786075592,1.2114406824111938,0.7831355929374695,0.5226965546607971,0.3162548840045929
seq_2_frame_300,HO_S4_jit,0.3512660264968872,0.7385984659194946,1.232353925704956,0.8054527044296265,0.5838684439659119,0.3233661949634552
seq_2_frame_300,HO_S4_ann,0.3522314131259918,0.755764365196228,1.2421154975891113,0.7999956011772156,0.5599693655967712,0.3267648220062256
seq_2_frame_300,UB_9,0.31465452909469604,0.7379242181777954,1.2080662250518799,0.7797059416770935,0.4938724637031555,0.3016064465045929
