scene,variant,nbr_std_eps_real,nbr_std_eps_imag,nbr_std_sigma_h,nbr_std_l_c,nbr_std_tau,nbr_std_thickness
seq_0_frame_135,HO_base,0.31112349033355713,0.6355741620063782,1.2466914653778076,0.783499002456665,0.293690025806427,0.2993244230747223
seq_0_frame_135,HO_S4_jit,0.31270483136177063,0.6067770719528198,1.2231420278549194,0.7303768396377563,0.38599538803100586,0.29704391956329346
seq_0_frame_135,HO_S4_ann,0.31828081607818604,0.6255768537521362,1.2469123601913452,0.7364276647567749,0.33716142177581787,0.3036552667617798
seq_0_frame_135,UB_9,0.29138460755348206,0.610679566860199,1.2286642789840698,0.7640798687934875,0.26658082008361816,0.28003519773483276
seq_0_frame_390,HO_base,0.3722641170024872,0.6298975348472595,1.408684492111206,0.8889893293380737,0.6387162804603577,0.35485103726387024
seq_0_frame_390,HO_S4_jit,0.380392849445343,0.6734606623649597,1.4599363803863525,0.9083320498466492,0.8393537402153015,0.3642488420009613
seq_0_frame_390,HO_S4_ann,0.38330620527267456,0.6889521479606628,1.468115210533142,0.9012064337730408,0.788161039352417,0.36665862798690796
seq_0_frame_390,UB_9,0.36133524775505066,0.6235593557357788,1.4094994068145752,0.8820917010307312,0.6142781972885132,0.34502100944519043
seq_1_frame_185,HO_base,0.2886243462562561,0.6245599389076233,1.1788498163223267,0.7773327827453613,0.37140727043151855,0.2689112424850464
seq_1_frame_185,HO_S4_jit,0.29947933554649353,0.5931051969528198,1.215979814529419,0.7852133512496948,0.44475245475769043,0.2734156847000122
seq_1_frame_185,HO_S4_ann,0.30582961440086365,0.6190902590751648,1.2158176898956299,0.7878929972648621,0.43376317620277405,0.28126469254493713
seq_1_frame_185,UB_9,0.2910501956939697,0.6246567368507385,1.1823928356170654,0.7847991585731506,0.3717001676559448,0.2696683704853058
seq_1_frame_438,HO_base,0.30534735321998596,0.6038305759429932,1.2295942306518555,0.7740842700004578,0.4176683723926544,0.2943459749221802
seq_1_frame_438,HO_S4_jit,0.3053084909915924,0.5718169212341309,1.2228269577026367,0.7755942940711975,0.5839483141899109,0.29231348633766174
seq_1_frame_438,HO_S4_ann,0.31902968883514404,0.605387806892395,1.2311077117919922,0.7529011964797974,0.5900130867958069,0.30556973814964294
seq_1_frame_438,UB_9,0.30419933795928955,0.5929426550865173,1.227543592453003,0.7613082528114319,0.4153688848018646,0.29271385073661804
seq_2_frame_105,HO_base,0.3308126926422119,0.6402679681777954,1.2010340690612793,0.7896670699119568,0.3559713363647461,0.3150332272052765
seq_2_frame_105,HO_S4_jit,0.34230169653892517,0.6095126271247864,1.2016680240631104,0.7516176104545593,0.454753577709198,0.3187558352947235
seq_2_frame_105,HO_S4_ann,0.34721341729164124,0.6451529264450073,1.227844476699829,0.7543163299560547,0.456340491771698,0.32336270809173584
seq_2_frame_105,UB_9,0.3196640610694885,0.6230635046958923,1.2065550088882446,0.7864966988563538,0.33487242460250854,0.3043403923511505
seq_2_frame_160,HO_base,0.30449655652046204,0.6029154062271118,1.2056347131729126,0.7544780969619751,0.3844630718231201,0.29330721497535706
seq_2_frame_160,HO_S4_jit,0.304670512676239,0.5796999335289001,1.1789746284484863,0.7137317061424255,0.4778374135494232,0.2924213707447052
seq_2_frame_160,HO_S4_ann,0.31670209765434265,0.6001096367835999,1.1965601444244385,0.7162186503410339,0.4605666995048523,0.3037501275539398
seq_2_frame_160,UB_9,0.29094642400741577,0.5893160104751587,1.2112566232681274,0.7455030083656311,0.3653648793697357,0.27929922938346863
seq_2_frame_300,HO_base,0.270801842212677,0.5618786215782166,1.0374996662139893,0.7001807689666748,0.37397629022598267,0.25727003812789917
seq_2_frame_300,HO_S4_jit,0.2858384847640991,0.5628525614738464,1.051393747329712,0.7146944999694824,0.4410656690597534,0.2631850242614746
seq_2_frame_300,HO_S4_ann,0.28697076439857483,0.5739828944206238,1.0606037378311157,0.7100040912628174,0.4258802831172943,0.26654335856437683
seq_2_frame_300,UB_9,0.2577400505542755,0.5559467077255249,1.0386828184127808,0.6950880289077759,0.3512811064720154,0.2449982464313507
