scene,variant,L2_mean,L2_p95,deg_mean,deg_p95
seq_0_frame_135,HO_base,2.041584014892578,3.553143048286438,31.984600067138672,88.66159973144529
seq_0_frame_135,HO_S4_jit,2.019163131713867,3.417907881736755,40.013877868652344,92.80977630615232
seq_0_frame_135,HO_S4_ann,2.054943084716797,3.5162885069847105,38.06721496582031,90.0
seq_0_frame_135,UB_9,1.938478946685791,3.518246138095855,30.5583438873291,86.65444450378413
seq_0_frame_390,HO_base,2.544739007949829,4.872517466545104,32.60945510864258,79.67729949951172
seq_0_frame_390,HO_S4_jit,2.6574761867523193,5.460959458351133,39.82911682128906,96.66946983337401
seq_0_frame_390,HO_S4_ann,2.665909767150879,5.236404371261597,40.008846282958984,97.74570236206054
seq_0_frame_390,UB_9,2.5135552883148193,4.719830727577209,32.14471435546875,78.47224311828612
seq_1_frame_185,HO_base,1.968393325805664,3.6533511877059928,29.6965274810791,83.55797309875487
seq_1_frame_185,HO_S4_jit,2.044684648513794,3.5957272768020627,38.99863815307617,96.41039199829099
seq_1_frame_185,HO_S4_ann,2.059004306793213,3.646276903152465,39.4937858581543,102.2109935760498
seq_1_frame_185,UB_9,1.9818164110183716,3.6469400286674496,29.825040817260742,83.88268470764159
seq_1_frame_438,HO_base,2.1420702934265137,3.73728084564209,29.0604305267334,74.32958946228025
seq_1_frame_438,HO_S4_jit,2.105698585510254,3.9530195236206054,37.065921783447266,94.68388557434079
seq_1_frame_438,HO_S4_ann,2.1675968170166016,4.030656123161315,36.753692626953125,94.50150222778316
seq_1_frame_438,UB_9,2.1054439544677734,3.6978060960769645,28.777572631835938,72.87918014526367
seq_2_frame_105,HO_base,2.055485725402832,3.6880135893821704,33.85685348510742,86.14587478637695
seq_2_frame_105,HO_S4_jit,2.086845874786377,3.630592286586761,42.69942855834961,97.36388969421385
seq_2_frame_105,HO_S4_ann,2.1441307067871094,3.77636479139328,41.34990692138672,94.80245399475093
seq_2_frame_105,UB_9,2.022578477859497,3.640581035614013,33.09613037109375,85.56034774780272
seq_2_frame_160,HO_base,2.0155136585235596,3.605106437206268,31.45071792602539,79.32132682800287
seq_2_frame_160,HO_S4_jit,1.9802519083023071,3.5692446351051323,38.80105209350586,94.27797660827635
seq_2_frame_160,HO_S4_ann,2.0189664363861084,3.6127811551094045,38.77924346923828,93.96262054443359
seq_2_frame_160,UB_9,1.967759132385254,3.580274760723114,30.737913131713867,78.4175457000732
seq_2_frame_300,HO_base,1.760207176208496,3.444626629352569,29.156631469726562,77.99250144958496
seq_2_frame_300,HO_S4_jit,1.8213691711425781,3.460037744045257,37.98617935180664,97.95866928100584
seq_2_frame_300,HO_S4_ann,1.837332010269165,3.50240353345871,37.494632720947266,97.23527259826659
seq_2_frame_300,UB_9,1.7261804342269897,3.4164180397987365,28.588043212890625,77.56038475036621
