scene,variant,reported,measured,delta,final_train_cc
seq_0_frame_135,HO_base,0.5700522065162659,0.5698229074478149,0.00022929906845092773,0.8087374716997147
seq_0_frame_135,HO_S4_jit,0.5978833436965942,0.5206042528152466,0.07727909088134766,0.852270245552063
seq_0_frame_135,HO_S4_ann,0.638464629650116,0.5937395095825195,0.044725120067596436,0.8390267044305801
seq_0_frame_135,UB_9,0.834033191204071,0.8214421272277832,0.012591063976287842,0.8025230632887946
seq_0_frame_390,HO_base,0.2825773358345032,0.28254157304763794,3.5762786865234375e-05,0.7483123987913132
seq_0_frame_390,HO_S4_jit,0.2677931487560272,0.2782515585422516,0.010458409786224365,0.8083571568131447
seq_0_frame_390,HO_S4_ann,0.31710606813430786,0.325796514749527,0.008690446615219116,0.7778905853629112
seq_0_frame_390,UB_9,0.8681413531303406,0.8673242926597595,0.0008170604705810547,0.7486041254467435
seq_1_frame_185,HO_base,0.5563342571258545,0.5574660897254944,0.0011318325996398926,0.8330463171005249
seq_1_frame_185,HO_S4_jit,0.5362356901168823,0.5524788498878479,0.016243159770965576,0.8682442680001259
seq_1_frame_185,HO_S4_ann,0.5044887661933899,0.5269625782966614,0.022473812103271484,0.8512868657708168
seq_1_frame_185,UB_9,0.8181871175765991,0.8173194527626038,0.0008676648139953613,0.8218227956030104
seq_1_frame_438,HO_base,0.5671797394752502,0.5669949650764465,0.00018477439880371094,0.8657022416591644
seq_1_frame_438,HO_S4_jit,0.6496240496635437,0.6353194117546082,0.014304637908935547,0.8774518892168999
seq_1_frame_438,HO_S4_ann,0.6105462312698364,0.5853052139282227,0.02524101734161377,0.867252878844738
seq_1_frame_438,UB_9,0.9090242385864258,0.9081863760948181,0.000837862491607666,0.8682534827126397
seq_2_frame_105,HO_base,0.5633293390274048,0.563430666923523,0.00010132789611816406,0.7866508513689041
seq_2_frame_105,HO_S4_jit,0.5828537940979004,0.5346295237541199,0.04822427034378052,0.8263092786073685
seq_2_frame_105,HO_S4_ann,0.5804346203804016,0.5506783723831177,0.029756247997283936,0.8107903152704239
seq_2_frame_105,UB_9,0.8063332438468933,0.8057719469070435,0.0005612969398498535,0.7834508882628547
seq_2_frame_160,HO_base,0.64506596326828,0.6443004012107849,0.0007655620574951172,0.7935040891170502
seq_2_frame_160,HO_S4_jit,0.6465966105461121,0.6545025706291199,0.007905960083007812,0.8174051269888878
seq_2_frame_160,HO_S4_ann,0.6428133249282837,0.6376391649246216,0.005174160003662109,0.8070109933614731
seq_2_frame_160,UB_9,0.821823000907898,0.8201108574867249,0.0017121434211730957,0.7884159684181213
seq_2_frame_300,HO_base,0.4809098243713379,0.4789726734161377,0.0019371509552001953,0.7337092235684395
seq_2_frame_300,HO_S4_jit,0.49217095971107483,0.49120235443115234,0.0009686052799224854,0.8170880824327469
seq_2_frame_300,HO_S4_ann,0.5027647018432617,0.4981813430786133,0.0045833587646484375,0.779483936727047
seq_2_frame_300,UB_9,0.7835322618484497,0.7791034579277039,0.00442880392074585,0.7210309969054328
