scene,variant,N,cc,top_1pct,top_5pct,top_10pct,top_25pct
seq_0_frame_135,HO_base,20000,0.5698228478431702,98.31872677697638,99.91460404551394,99.98427993934676,99.99914485781169
seq_0_frame_135,HO_S4_jit,20000,0.5206043720245361,97.327825944708,99.84798637996741,99.97233178431718,99.99859639343799
seq_0_frame_135,HO_S4_ann,20000,0.5937395095825195,95.34303371486233,99.70202511313907,99.94033358198273,99.99687952653993
seq_0_frame_135,UB_9,20000,0.8214421272277832,98.80759761687172,99.94249454236343,99.99123653784568,99.999609454404
seq_0_frame_390,HO_base,20000,0.28254154324531555,96.37635438526121,99.53333203942957,99.88698772051269,99.99309917988066
seq_0_frame_390,HO_S4_jit,20000,0.278251588344574,94.8599108485642,99.32140971306494,99.82432840524235,99.98893030181416
seq_0_frame_390,HO_S4_ann,20000,0.325796514749527,96.07721218511654,99.49747184068913,99.86893386761611,99.99134725262208
seq_0_frame_390,UB_9,20000,0.8673242926597595,95.2010647295284,99.3927950510066,99.83782108209365,99.98913122784961
seq_1_frame_185,HO_base,20000,0.5574660897254944,96.77028667782041,99.61973994967154,99.91255418836967,99.99501925026121
seq_1_frame_185,HO_S4_jit,20000,0.5524787902832031,93.15776558638458,99.2296556790098,99.8295205574402,99.99091753600719
seq_1_frame_185,HO_S4_ann,20000,0.5269626379013062,93.15594094219222,99.12925020268293,99.79111102735294,99.98767145657192
seq_1_frame_185,UB_9,20000,0.8173195719718933,87.55133565122644,98.58976690700536,99.69179128616541,99.98529418347653
seq_1_frame_438,HO_base,20000,0.5669949650764465,94.27680194060929,99.10143733034035,99.75502545249357,99.98369220350453
seq_1_frame_438,HO_S4_jit,20000,0.6353194117546082,86.30268176628034,97.27566840225931,99.1964691966344,99.93433661371901
seq_1_frame_438,HO_S4_ann,20000,0.5853052139282227,89.25899058605738,98.34041871671734,99.54557766090494,99.96547200429598
seq_1_frame_438,UB_9,20000,0.9081863760948181,91.2381033439624,98.57903206332304,99.56443971162341,99.96195709187501
seq_2_frame_105,HO_base,20000,0.5634307265281677,93.93190852174068,99.33657219823661,99.84080038327798,99.99090836849712
seq_2_frame_105,HO_S4_jit,20000,0.5346295237541199,92.83133750249893,99.03722860813045,99.76112314777129,99.98473790815373
seq_2_frame_105,HO_S4_ann,20000,0.5506784915924072,91.74364305500758,98.98689505256661,99.75284055919823,99.98534404357576
seq_2_frame_105,UB_9,20000,0.8057719469070435,90.16884790581089,98.92152417941567,99.75173880414316,99.98646298175292
seq_2_frame_160,HO_base,20000,0.6443004012107849,91.3035664102366,98.22698086881638,99.4613292400938,99.96240486587135
seq_2_frame_160,HO_S4_jit,20000,0.6545025706291199,78.49262958626237,95.43994663000909,98.59765880237994,99.89048149869565
seq_2_frame_160,HO_S4_ann,20000,0.6376391649246216,78.59319203324716,95.52177253505629,98.59483770052647,99.89743812561821
seq_2_frame_160,UB_9,20000,0.8201106786727905,84.15593932253702,96.99916719572374,99.06486828416955,99.92636750606562
seq_2_frame_300,HO_base,20000,0.4789726734161377,96.07141031756849,99.61184535573122,99.90309177797465,99.99380281450183
seq_2_frame_300,HO_S4_jit,20000,0.49120235443115234,85.11716709993576,98.18543425367663,99.56083746269609,99.97319405484187
seq_2_frame_300,HO_S4_ann,20000,0.4981813430786133,91.60943188517074,99.09519930758242,99.77954486906904,99.98616040260741
seq_2_frame_300,UB_9,20000,0.7791034579277039,99.94299303228553,99.99388730596927,99.9985285812168,99.999899102712
