scene,cc_HO_native,cc_UB_native,cc_UB_mat_HO_rot,cc_HO_mat_UB_rot,gain_from_UB_mat,gain_from_UB_rot,gap_HO_to_UB
seq_0_frame_135,0.5698229074478149,0.8214421272277832,0.6141344308853149,0.6744500994682312,0.0443115234375,0.10462719202041626,0.25161921977996826
seq_0_frame_390,0.28254154324531555,0.8673242330551147,0.4585512578487396,0.6452536582946777,0.17600971460342407,0.3627121150493622,0.5847826898097992
seq_1_frame_185,0.5574660897254944,0.817319393157959,0.5765101313591003,0.6552956700325012,0.019044041633605957,0.09782958030700684,0.2598533034324646
seq_1_frame_438,0.5669949650764465,0.9081864356994629,0.6526274085044861,0.764403223991394,0.08563244342803955,0.1974082589149475,0.34119147062301636
seq_2_frame_105,0.5634307265281677,0.8057719469070435,0.5924264788627625,0.6440550684928894,0.028995752334594727,0.08062434196472168,0.24234122037887573
seq_2_frame_160,0.6443004012107849,0.8201107382774353,0.6540333032608032,0.7050050497055054,0.00973290205001831,0.06070464849472046,0.1758103370666504
seq_2_frame_300,0.4789726734161377,0.7791034579277039,0.519235372543335,0.6317926645278931,0.040262699127197266,0.15281999111175537,0.30013078451156616
