scene,abs_mean_eps_real,abs_mean_eps_imag,abs_mean_sigma_h,abs_mean_l_c,abs_mean_tau,abs_mean_thickness
seq_0_frame_135,0.2987673878669739,0.5011016130447388,0.8814890384674072,0.5581043362617493,0.16867409646511078,0.2883542478084564
seq_0_frame_390,0.35632210969924927,0.48941347002983093,0.7857629060745239,0.5237891674041748,0.2682969272136688,0.342838853597641
seq_1_frame_185,0.2681974172592163,0.4044819474220276,0.593391478061676,0.3932588994503021,0.18130071461200714,0.25607964396476746
seq_1_frame_438,0.29300233721733093,0.48244673013687134,0.8010810613632202,0.544877827167511,0.2072816640138626,0.2841624915599823
seq_2_frame_105,0.3095223009586334,0.4497395157814026,0.7543772459030151,0.48167818784713745,0.18428881466388702,0.297522634267807
seq_2_frame_160,0.2896815836429596,0.48008403182029724,0.8228878974914551,0.510960578918457,0.2085886299610138,0.2804505228996277
seq_2_frame_300,0.2534121870994568,0.444859117269516,0.7111271619796753,0.4751822352409363,0.20591247081756592,0.24421648681163788
